"grade","prob","oper","op1","op2","op1type","op2type","opTypes","opSubTypes","op1val","op2val"
"2","5+5","+","5","5","whole","whole","whole","SD_whole",5,5
"2","5+4","+","5","4","whole","whole","whole","SD_whole",5,4
"2","5+7","+","5","7","whole","whole","whole","SD_whole",5,7
"2","7+5","+","7","5","whole","whole","whole","SD_whole",7,5
"2","7+7","+","7","7","whole","whole","whole","SD_whole",7,7
"2","7+8","+","7","8","whole","whole","whole","SD_whole",7,8
"2","3+7","+","3","7","whole","whole","whole","SD_whole",3,7
"2","7+3","+","7","3","whole","whole","whole","SD_whole",7,3
"2","9+3","+","9","3","whole","whole","whole","SD_whole",9,3
"2","3+9","+","3","9","whole","whole","whole","SD_whole",3,9
"2","6+6","+","6","6","whole","whole","whole","SD_whole",6,6
"2","6+5","+","6","5","whole","whole","whole","SD_whole",6,5
"2","7+1","+","7","1","whole","whole","whole","SD_whole",7,1
"2","1+7","+","1","7","whole","whole","whole","SD_whole",1,7
"2","4+0","+","4","0","whole","whole","whole","SD_whole",4,0
"2","9+0","+","9","0","whole","whole","whole","SD_whole",9,0
"2","5+5","+","5","5","whole","whole","whole","SD_whole",5,5
"2","5+4","+","5","4","whole","whole","whole","SD_whole",5,4
"2","8+2","+","8","2","whole","whole","whole","SD_whole",8,2
"2","2+8","+","2","8","whole","whole","whole","SD_whole",2,8
"2","3+3","+","3","3","whole","whole","whole","SD_whole",3,3
"2","3+4","+","3","4","whole","whole","whole","SD_whole",3,4
"2","7+8","+","7","8","whole","whole","whole","SD_whole",7,8
"2","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"2","4+1","+","4","1","whole","whole","whole","SD_whole",4,1
"2","1+4","+","1","4","whole","whole","whole","SD_whole",1,4
"2","0+7","+","0","7","whole","whole","whole","SD_whole",0,7
"2","0+6","+","0","6","whole","whole","whole","SD_whole",0,6
"2","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"2","8+9","+","8","9","whole","whole","whole","SD_whole",8,9
"2","5+3","+","5","3","whole","whole","whole","SD_whole",5,3
"2","3+5","+","3","5","whole","whole","whole","SD_whole",3,5
"2","9+9","+","9","9","whole","whole","whole","SD_whole",9,9
"2","9+8","+","9","8","whole","whole","whole","SD_whole",9,8
"2","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"2","7+6","+","7","6","whole","whole","whole","SD_whole",7,6
"2","9+1","+","9","1","whole","whole","whole","SD_whole",9,1
"2","1+9","+","1","9","whole","whole","whole","SD_whole",1,9
"2","7+6","+","7","6","whole","whole","whole","SD_whole",7,6
"2","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"2","8+0","+","8","0","whole","whole","whole","SD_whole",8,0
"2","5+0","+","5","0","whole","whole","whole","SD_whole",5,0
"2","7+9","+","7","9","whole","whole","whole","SD_whole",7,9
"2","9+7","+","9","7","whole","whole","whole","SD_whole",9,7
"2","4+4","+","4","4","whole","whole","whole","SD_whole",4,4
"2","4+5","+","4","5","whole","whole","whole","SD_whole",4,5
"2","9+9","+","9","9","whole","whole","whole","SD_whole",9,9
"2","9+8","+","9","8","whole","whole","whole","SD_whole",9,8
"2","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"2","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"2","2+2","+","2","2","whole","whole","whole","SD_whole",2,2
"2","2+3","+","2","3","whole","whole","whole","SD_whole",2,3
"2","6+3","+","6","3","whole","whole","whole","SD_whole",6,3
"2","3+6","+","3","6","whole","whole","whole","SD_whole",3,6
"2","6+6","+","6","6","whole","whole","whole","SD_whole",6,6
"2","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"2","0+7","+","0","7","whole","whole","whole","SD_whole",0,7
"2","0+9","+","0","9","whole","whole","whole","SD_whole",0,9
"2","5+5","+","5","5","whole","whole","whole","SD_whole",5,5
"2","5+6","+","5","6","whole","whole","whole","SD_whole",5,6
"2","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"2","2+9","+","2","9","whole","whole","whole","SD_whole",2,9
"2","8+3","+","8","3","whole","whole","whole","SD_whole",8,3
"2","2+9","+","2","9","whole","whole","whole","SD_whole",2,9
"2","8+5","+","8","5","whole","whole","whole","SD_whole",8,5
"2","4+7","+","4","7","whole","whole","whole","SD_whole",4,7
"2","3+9","+","3","9","whole","whole","whole","SD_whole",3,9
"2","7+6","+","7","6","whole","whole","whole","SD_whole",7,6
"2","8+6","+","8","6","whole","whole","whole","SD_whole",8,6
"2","5+9","+","5","9","whole","whole","whole","SD_whole",5,9
"2","7+9","+","7","9","whole","whole","whole","SD_whole",7,9
"2","8+4","+","8","4","whole","whole","whole","SD_whole",8,4
"2","8+5","+","8","5","whole","whole","whole","SD_whole",8,5
"2","8+6","+","8","6","whole","whole","whole","SD_whole",8,6
"2","3+9","+","3","9","whole","whole","whole","SD_whole",3,9
"2","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"2","6+5","+","6","5","whole","whole","whole","SD_whole",6,5
"2","13-7","-","13","7","whole","whole","whole","MD_whole",13,7
"2","5+4","+","5","4","whole","whole","whole","SD_whole",5,4
"2","9-4","-","9","4","whole","whole","whole","SD_whole",9,4
"2","2+7","+","2","7","whole","whole","whole","SD_whole",2,7
"2","9-2","-","9","2","whole","whole","whole","SD_whole",9,2
"2","3+8","+","3","8","whole","whole","whole","SD_whole",3,8
"2","11-8","-","11","8","whole","whole","whole","MD_whole",11,8
"2","5+8","+","5","8","whole","whole","whole","SD_whole",5,8
"2","13-5","-","13","5","whole","whole","whole","MD_whole",13,5
"2","1+8","+","1","8","whole","whole","whole","SD_whole",1,8
"2","9-1","-","9","1","whole","whole","whole","SD_whole",9,1
"2","9+9","+","9","9","whole","whole","whole","SD_whole",9,9
"2","18-9","-","18","9","whole","whole","whole","MD_whole",18,9
"2","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"2","15-8","-","15","8","whole","whole","whole","MD_whole",15,8
"2","4+7","+","4","7","whole","whole","whole","SD_whole",4,7
"2","11-7","-","11","7","whole","whole","whole","MD_whole",11,7
"2","7+5","+","7","5","whole","whole","whole","SD_whole",7,5
"2","12-7","-","12","7","whole","whole","whole","MD_whole",12,7
"2","4+3","+","4","3","whole","whole","whole","SD_whole",4,3
"2","7-3","-","7","3","whole","whole","whole","SD_whole",7,3
"2","2+6","+","2","6","whole","whole","whole","SD_whole",2,6
"2","8-6","-","8","6","whole","whole","whole","SD_whole",8,6
"2","6+4","+","6","4","whole","whole","whole","SD_whole",6,4
"2","10-6","-","10","6","whole","whole","whole","MD_whole",10,6
"2","7+3","+","7","3","whole","whole","whole","SD_whole",7,3
"2","10-7","-","10","7","whole","whole","whole","MD_whole",10,7
"2","8+6","+","8","6","whole","whole","whole","SD_whole",8,6
"2","14-6","-","14","6","whole","whole","whole","MD_whole",14,6
"2","3+9","+","3","9","whole","whole","whole","SD_whole",3,9
"2","12-9","-","12","9","whole","whole","whole","MD_whole",12,9
"2","6+5","+","6","5","whole","whole","whole","SD_whole",6,5
"2","11-5","-","11","5","whole","whole","whole","MD_whole",11,5
"2","7+7","+","7","7","whole","whole","whole","SD_whole",7,7
"2","14-7","-","14","7","whole","whole","whole","MD_whole",14,7
"2","9+6","+","9","6","whole","whole","whole","SD_whole",9,6
"2","15-9","-","15","9","whole","whole","whole","MD_whole",15,9
"2","5+9","+","5","9","whole","whole","whole","SD_whole",5,9
"2","14-9","-","14","9","whole","whole","whole","MD_whole",14,9
"2","4+8","+","4","8","whole","whole","whole","SD_whole",4,8
"2","12-4","-","12","4","whole","whole","whole","MD_whole",12,4
"2","9+7","+","9","7","whole","whole","whole","SD_whole",9,7
"2","16-7","-","16","7","whole","whole","whole","MD_whole",16,7
"2","9+6","+","9","6","whole","whole","whole","SD_whole",9,6
"2","15-6","-","15","6","whole","whole","whole","MD_whole",15,6
"2","8+5","+","8","5","whole","whole","whole","SD_whole",8,5
"2","13-5","-","13","5","whole","whole","whole","MD_whole",13,5
"2","9+9","+","9","9","whole","whole","whole","SD_whole",9,9
"2","18-9","-","18","9","whole","whole","whole","MD_whole",18,9
"2","7+3","+","7","3","whole","whole","whole","SD_whole",7,3
"2","10-3","-","10","3","whole","whole","whole","MD_whole",10,3
"2","7+5","+","7","5","whole","whole","whole","SD_whole",7,5
"2","12-5","-","12","5","whole","whole","whole","MD_whole",12,5
"2","6+8","+","6","8","whole","whole","whole","SD_whole",6,8
"2","14-6","-","14","6","whole","whole","whole","MD_whole",14,6
"2","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"2","13-6","-","13","6","whole","whole","whole","MD_whole",13,6
"2","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"2","16-8","-","16","8","whole","whole","whole","MD_whole",16,8
"2","6+4","+","6","4","whole","whole","whole","SD_whole",6,4
"2","10-4","-","10","4","whole","whole","whole","MD_whole",10,4
"2","6-4","-","6","4","whole","whole","whole","SD_whole",6,4
"2","10-7","-","10","7","whole","whole","whole","MD_whole",10,7
"2","5-2","-","5","2","whole","whole","whole","SD_whole",5,2
"2","14-6","-","14","6","whole","whole","whole","MD_whole",14,6
"2","8-4","-","8","4","whole","whole","whole","SD_whole",8,4
"2","11-3","-","11","3","whole","whole","whole","MD_whole",11,3
"2","7-5","-","7","5","whole","whole","whole","SD_whole",7,5
"2","10-4","-","10","4","whole","whole","whole","MD_whole",10,4
"2","5-0","-","5","0","whole","whole","whole","SD_whole",5,0
"2","13-9","-","13","9","whole","whole","whole","MD_whole",13,9
"2","9-3","-","9","3","whole","whole","whole","SD_whole",9,3
"2","7-6","-","7","6","whole","whole","whole","SD_whole",7,6
"2","12-3","-","12","3","whole","whole","whole","MD_whole",12,3
"2","6-3","-","6","3","whole","whole","whole","SD_whole",6,3
"2","9-5","-","9","5","whole","whole","whole","SD_whole",9,5
"2","10-6","-","10","6","whole","whole","whole","MD_whole",10,6
"2","8-3","-","8","3","whole","whole","whole","SD_whole",8,3
"2","13-5","-","13","5","whole","whole","whole","MD_whole",13,5
"2","11-2","-","11","2","whole","whole","whole","MD_whole",11,2
"2","9-7","-","9","7","whole","whole","whole","SD_whole",9,7
"2","7-4","-","7","4","whole","whole","whole","SD_whole",7,4
"2","12-5","-","12","5","whole","whole","whole","MD_whole",12,5
"2","8-6","-","8","6","whole","whole","whole","SD_whole",8,6
"2","7-0","-","7","0","whole","whole","whole","SD_whole",7,0
"2","10-5","-","10","5","whole","whole","whole","MD_whole",10,5
"2","15-8","-","15","8","whole","whole","whole","MD_whole",15,8
"2","13-7","-","13","7","whole","whole","whole","MD_whole",13,7
"2","10-8","-","10","8","whole","whole","whole","MD_whole",10,8
"2","8-5","-","8","5","whole","whole","whole","SD_whole",8,5
"2","9-6","-","9","6","whole","whole","whole","SD_whole",9,6
"2","9-4","-","9","4","whole","whole","whole","SD_whole",9,4
"2","11-8","-","11","8","whole","whole","whole","MD_whole",11,8
"2","12-7","-","12","7","whole","whole","whole","MD_whole",12,7
"2","10-1","-","10","1","whole","whole","whole","MD_whole",10,1
"2","8-1","-","8","1","whole","whole","whole","SD_whole",8,1
"2","6-1","-","6","1","whole","whole","whole","SD_whole",6,1
"2","4-1","-","4","1","whole","whole","whole","SD_whole",4,1
"2","12-9","-","12","9","whole","whole","whole","MD_whole",12,9
"2","13-9","-","13","9","whole","whole","whole","MD_whole",13,9
"2","14-9","-","14","9","whole","whole","whole","MD_whole",14,9
"2","15-9","-","15","9","whole","whole","whole","MD_whole",15,9
"2","18-9","-","18","9","whole","whole","whole","MD_whole",18,9
"2","17-8","-","17","8","whole","whole","whole","MD_whole",17,8
"2","16-7","-","16","7","whole","whole","whole","MD_whole",16,7
"2","15-6","-","15","6","whole","whole","whole","MD_whole",15,6
"2","3+6","+","3","6","whole","whole","whole","SD_whole",3,6
"2","8+0","+","8","0","whole","whole","whole","SD_whole",8,0
"2","7+7","+","7","7","whole","whole","whole","SD_whole",7,7
"2","9+4","+","9","4","whole","whole","whole","SD_whole",9,4
"2","5+6","+","5","6","whole","whole","whole","SD_whole",5,6
"2","2+8","+","2","8","whole","whole","whole","SD_whole",2,8
"2","9+7","+","9","7","whole","whole","whole","SD_whole",9,7
"2","6+8","+","6","8","whole","whole","whole","SD_whole",6,8
"2","5+4","+","5","4","whole","whole","whole","SD_whole",5,4
"2","9-4","-","9","4","whole","whole","whole","SD_whole",9,4
"2","3+9","+","3","9","whole","whole","whole","SD_whole",3,9
"2","12-9","-","12","9","whole","whole","whole","MD_whole",12,9
"2","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"2","15-8","-","15","8","whole","whole","whole","MD_whole",15,8
"2","15-9","-","15","9","whole","whole","whole","MD_whole",15,9
"2","10-2","-","10","2","whole","whole","whole","MD_whole",10,2
"2","13-5","-","13","5","whole","whole","whole","MD_whole",13,5
"2","14-7","-","14","7","whole","whole","whole","MD_whole",14,7
"2","10-8","-","10","8","whole","whole","whole","MD_whole",10,8
"2","12-7","-","12","7","whole","whole","whole","MD_whole",12,7
"2","10-3","-","10","3","whole","whole","whole","MD_whole",10,3
"2","16-7","-","16","7","whole","whole","whole","MD_whole",16,7
"2","8-4","-","8","4","whole","whole","whole","SD_whole",8,4
"2","11-5","-","11","5","whole","whole","whole","MD_whole",11,5
"2","13-6","-","13","6","whole","whole","whole","MD_whole",13,6
"2","12-9","-","12","9","whole","whole","whole","MD_whole",12,9
"2","16-9","-","16","9","whole","whole","whole","MD_whole",16,9
"2","11-9","-","11","9","whole","whole","whole","MD_whole",11,9
"2","12-8","-","12","8","whole","whole","whole","MD_whole",12,8
"2","13-6","-","13","6","whole","whole","whole","MD_whole",13,6
"2","12-3","-","12","3","whole","whole","whole","MD_whole",12,3
"2","15-7","-","15","7","whole","whole","whole","MD_whole",15,7
"2","13-7","-","13","7","whole","whole","whole","MD_whole",13,7
"2","13-5","-","13","5","whole","whole","whole","MD_whole",13,5
"2","15-6","-","15","6","whole","whole","whole","MD_whole",15,6
"2","12-8","-","12","8","whole","whole","whole","MD_whole",12,8
"2","14-8","-","14","8","whole","whole","whole","MD_whole",14,8
"2","14-6","-","14","6","whole","whole","whole","MD_whole",14,6
"2","12-7","-","12","7","whole","whole","whole","MD_whole",12,7
"2","13-7","-","13","7","whole","whole","whole","MD_whole",13,7
"2","15-8","-","15","8","whole","whole","whole","MD_whole",15,8
"2","12-6","-","12","6","whole","whole","whole","MD_whole",12,6
"2","10-4","-","10","4","whole","whole","whole","MD_whole",10,4
"2","13-8","-","13","8","whole","whole","whole","MD_whole",13,8
"2","10-5","-","10","5","whole","whole","whole","MD_whole",10,5
"2","18-9","-","18","9","whole","whole","whole","MD_whole",18,9
"2","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"2","7+9","+","7","9","whole","whole","whole","SD_whole",7,9
"2","7+3","+","7","3","whole","whole","whole","SD_whole",7,3
"2","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"2","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"2","4+4","+","4","4","whole","whole","whole","SD_whole",4,4
"2","9+5","+","9","5","whole","whole","whole","SD_whole",9,5
"2","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"2","2+7","+","2","7","whole","whole","whole","SD_whole",2,7
"2","6+5","+","6","5","whole","whole","whole","SD_whole",6,5
"2","3+9","+","3","9","whole","whole","whole","SD_whole",3,9
"2","0+7","+","0","7","whole","whole","whole","SD_whole",0,7
"2","8+6","+","8","6","whole","whole","whole","SD_whole",8,6
"2","9+8","+","9","8","whole","whole","whole","SD_whole",9,8
"2","6+2","+","6","2","whole","whole","whole","SD_whole",6,2
"2","1+4","+","1","4","whole","whole","whole","SD_whole",1,4
"2","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"2","5+8","+","5","8","whole","whole","whole","SD_whole",5,8
"2","9+9","+","9","9","whole","whole","whole","SD_whole",9,9
"2","7+9","+","7","9","whole","whole","whole","SD_whole",7,9
"2","2+2","+","2","2","whole","whole","whole","SD_whole",2,2
"2","4+6","+","4","6","whole","whole","whole","SD_whole",4,6
"2","5+1","+","5","1","whole","whole","whole","SD_whole",5,1
"2","30+5","+","30","5","whole","whole","whole","MD_whole",30,5
"2","26+5","+","26","5","whole","whole","whole","MD_whole",26,5
"2","37+8","+","37","8","whole","whole","whole","MD_whole",37,8
"2","28+6","+","28","6","whole","whole","whole","MD_whole",28,6
"2","23+9","+","23","9","whole","whole","whole","MD_whole",23,9
"2","48+5","+","48","5","whole","whole","whole","MD_whole",48,5
"2","18+5","+","18","5","whole","whole","whole","MD_whole",18,5
"2","33+9","+","33","9","whole","whole","whole","MD_whole",33,9
"2","27+9","+","27","9","whole","whole","whole","MD_whole",27,9
"2","49+4","+","49","4","whole","whole","whole","MD_whole",49,4
"2","62+9","+","62","9","whole","whole","whole","MD_whole",62,9
"2","27+7","+","27","7","whole","whole","whole","MD_whole",27,7
"2","28+5","+","28","5","whole","whole","whole","MD_whole",28,5
"2","17+8","+","17","8","whole","whole","whole","MD_whole",17,8
"2","57+6","+","57","6","whole","whole","whole","MD_whole",57,6
"2","23+9","+","23","9","whole","whole","whole","MD_whole",23,9
"2","39+7","+","39","7","whole","whole","whole","MD_whole",39,7
"2","26+5","+","26","5","whole","whole","whole","MD_whole",26,5
"2","13+8","+","13","8","whole","whole","whole","MD_whole",13,8
"2","18+7","+","18","7","whole","whole","whole","MD_whole",18,7
"2","26+7","+","26","7","whole","whole","whole","MD_whole",26,7
"2","15+8","+","15","8","whole","whole","whole","MD_whole",15,8
"2","2+8","+","2","8","whole","whole","whole","SD_whole",2,8
"2","35+54","+","35","54","whole","whole","whole","MD_whole",35,54
"2","43+29","+","43","29","whole","whole","whole","MD_whole",43,29
"2","56+38","+","56","38","whole","whole","whole","MD_whole",56,38
"2","14+23","+","14","23","whole","whole","whole","MD_whole",14,23
"2","37+45","+","37","45","whole","whole","whole","MD_whole",37,45
"2","18+21","+","18","21","whole","whole","whole","MD_whole",18,21
"2","33+49","+","33","49","whole","whole","whole","MD_whole",33,49
"2","27+12","+","27","12","whole","whole","whole","MD_whole",27,12
"2","17+35","+","17","35","whole","whole","whole","MD_whole",17,35
"2","7+7","+","7","7","whole","whole","whole","SD_whole",7,7
"2","39+46","+","39","46","whole","whole","whole","MD_whole",39,46
"2","26+32","+","26","32","whole","whole","whole","MD_whole",26,32
"2","58+24","+","58","24","whole","whole","whole","MD_whole",58,24
"2","34+9","+","34","9","whole","whole","whole","MD_whole",34,9
"2","27+24","+","27","24","whole","whole","whole","MD_whole",27,24
"2","35+23","+","35","23","whole","whole","whole","MD_whole",35,23
"2","59+6","+","59","6","whole","whole","whole","MD_whole",59,6
"2","38+17","+","38","17","whole","whole","whole","MD_whole",38,17
"2","58+26","+","58","26","whole","whole","whole","MD_whole",58,26
"2","42+37","+","42","37","whole","whole","whole","MD_whole",42,37
"2","53+38","+","53","38","whole","whole","whole","MD_whole",53,38
"2","34+28","+","34","28","whole","whole","whole","MD_whole",34,28
"2","43+27","+","43","27","whole","whole","whole","MD_whole",43,27
"2","13-5","-","13","5","whole","whole","whole","MD_whole",13,5
"2","42+29","+","42","29","whole","whole","whole","MD_whole",42,29
"2","31+14","+","31","14","whole","whole","whole","MD_whole",31,14
"2","27+45","+","27","45","whole","whole","whole","MD_whole",27,45
"2","48+7","+","48","7","whole","whole","whole","MD_whole",48,7
"2","35+42","+","35","42","whole","whole","whole","MD_whole",35,42
"2","73+20","+","73","20","whole","whole","whole","MD_whole",73,20
"2","33+27","+","33","27","whole","whole","whole","MD_whole",33,27
"2","52+5","+","52","5","whole","whole","whole","MD_whole",52,5
"2","36+58","+","36","58","whole","whole","whole","MD_whole",36,58
"2","64+25","+","64","25","whole","whole","whole","MD_whole",64,25
"2","35+38","+","35","38","whole","whole","whole","MD_whole",35,38
"2","38+52","+","38","52","whole","whole","whole","MD_whole",38,52
"2","47+25","+","47","25","whole","whole","whole","MD_whole",47,25
"2","33+18","+","33","18","whole","whole","whole","MD_whole",33,18
"2","28+64","+","28","64","whole","whole","whole","MD_whole",28,64
"2","13+65","+","13","65","whole","whole","whole","MD_whole",13,65
"2","17+26","+","17","26","whole","whole","whole","MD_whole",17,26
"2","36+53","+","36","53","whole","whole","whole","MD_whole",36,53
"2","58+25","+","58","25","whole","whole","whole","MD_whole",58,25
"2","37+49","+","37","49","whole","whole","whole","MD_whole",37,49
"2","21+37","+","21","37","whole","whole","whole","MD_whole",21,37
"2","38+52","+","38","52","whole","whole","whole","MD_whole",38,52
"2","38+94","+","38","94","whole","whole","whole","MD_whole",38,94
"2","45+52","+","45","52","whole","whole","whole","MD_whole",45,52
"2","83+76","+","83","76","whole","whole","whole","MD_whole",83,76
"2","56+35","+","56","35","whole","whole","whole","MD_whole",56,35
"2","63+51","+","63","51","whole","whole","whole","MD_whole",63,51
"2","74+49","+","74","49","whole","whole","whole","MD_whole",74,49
"2","52+37","+","52","37","whole","whole","whole","MD_whole",52,37
"2","88+21","+","88","21","whole","whole","whole","MD_whole",88,21
"2","74+67","+","74","67","whole","whole","whole","MD_whole",74,67
"2","93+54","+","93","54","whole","whole","whole","MD_whole",93,54
"2","92+78","+","92","78","whole","whole","whole","MD_whole",92,78
"2","56+16","+","56","16","whole","whole","whole","MD_whole",56,16
"2","31+45","+","31","45","whole","whole","whole","MD_whole",31,45
"2","43+72","+","43","72","whole","whole","whole","MD_whole",43,72
"2","37+8","+","37","8","whole","whole","whole","MD_whole",37,8
"2","55+7","+","55","7","whole","whole","whole","MD_whole",55,7
"2","27+36","+","27","36","whole","whole","whole","MD_whole",27,36
"2","28+57","+","28","57","whole","whole","whole","MD_whole",28,57
"2","67+31","+","67","31","whole","whole","whole","MD_whole",67,31
"2","71+19","+","71","19","whole","whole","whole","MD_whole",71,19
"2","58+17","+","58","17","whole","whole","whole","MD_whole",58,17
"2","44+86","+","44","86","whole","whole","whole","MD_whole",44,86
"2","36+13","+","36","13","whole","whole","whole","MD_whole",36,13
"2","49+72","+","49","72","whole","whole","whole","MD_whole",49,72
"2","58+87","+","58","87","whole","whole","whole","MD_whole",58,87
"2","32+59","+","32","59","whole","whole","whole","MD_whole",32,59
"2","56+35","+","56","35","whole","whole","whole","MD_whole",56,35
"2","74+15","+","74","15","whole","whole","whole","MD_whole",74,15
"2","11-6","-","11","6","whole","whole","whole","MD_whole",11,6
"2","28+45","+","28","45","whole","whole","whole","MD_whole",28,45
"2","25+8","+","25","8","whole","whole","whole","MD_whole",25,8
"2","37+10","+","37","10","whole","whole","whole","MD_whole",37,10
"2","25+45","+","25","45","whole","whole","whole","MD_whole",25,45
"2","38+29","+","38","29","whole","whole","whole","MD_whole",38,29
"2","20+45","+","20","45","whole","whole","whole","MD_whole",20,45
"2","63+9","+","63","9","whole","whole","whole","MD_whole",63,9
"2","15+36","+","15","36","whole","whole","whole","MD_whole",15,36
"2","74+18","+","74","18","whole","whole","whole","MD_whole",74,18
"2","27+54","+","27","54","whole","whole","whole","MD_whole",27,54
"2","34+30","+","34","30","whole","whole","whole","MD_whole",34,30
"2","26+17","+","26","17","whole","whole","whole","MD_whole",26,17
"2","48+38","+","48","38","whole","whole","whole","MD_whole",48,38
"2","50+32","+","50","32","whole","whole","whole","MD_whole",50,32
"2","61+38","+","61","38","whole","whole","whole","MD_whole",61,38
"2","37+43","+","37","43","whole","whole","whole","MD_whole",37,43
"2","79+17","+","79","17","whole","whole","whole","MD_whole",79,17
"2","45+40","+","45","40","whole","whole","whole","MD_whole",45,40
"2","21+52","+","21","52","whole","whole","whole","MD_whole",21,52
"2","17+76","+","17","76","whole","whole","whole","MD_whole",17,76
"2","68+29","+","68","29","whole","whole","whole","MD_whole",68,29
"2","27+19","+","27","19","whole","whole","whole","MD_whole",27,19
"2","36+23","+","36","23","whole","whole","whole","MD_whole",36,23
"2","31+29","+","31","29","whole","whole","whole","MD_whole",31,29
"2","48+23","+","48","23","whole","whole","whole","MD_whole",48,23
"2","53+12","+","53","12","whole","whole","whole","MD_whole",53,12
"2","69+13","+","69","13","whole","whole","whole","MD_whole",69,13
"2","24+38","+","24","38","whole","whole","whole","MD_whole",24,38
"2","46+37","+","46","37","whole","whole","whole","MD_whole",46,37
"2","39+17","+","39","17","whole","whole","whole","MD_whole",39,17
"2","28+16","+","28","16","whole","whole","whole","MD_whole",28,16
"2","60+4","+","60","4","whole","whole","whole","MD_whole",60,4
"2","15-9","-","15","9","whole","whole","whole","MD_whole",15,9
"2","7+5","+","7","5","whole","whole","whole","SD_whole",7,5
"2","52+27","+","52","27","whole","whole","whole","MD_whole",52,27
"2","6-2","-","6","2","whole","whole","whole","SD_whole",6,2
"2","5-2","-","5","2","whole","whole","whole","SD_whole",5,2
"2","4-2","-","4","2","whole","whole","whole","SD_whole",4,2
"2","3-2","-","3","2","whole","whole","whole","SD_whole",3,2
"2","2-2","-","2","2","whole","whole","whole","SD_whole",2,2
"2","8-5","-","8","5","whole","whole","whole","SD_whole",8,5
"2","14-6","-","14","6","whole","whole","whole","MD_whole",14,6
"2","9-6","-","9","6","whole","whole","whole","SD_whole",9,6
"2","16-7","-","16","7","whole","whole","whole","MD_whole",16,7
"2","12-6","-","12","6","whole","whole","whole","MD_whole",12,6
"2","10-8","-","10","8","whole","whole","whole","MD_whole",10,8
"2","41-9","-","41","9","whole","whole","whole","MD_whole",41,9
"2","53-6","-","53","6","whole","whole","whole","MD_whole",53,6
"2","44-7","-","44","7","whole","whole","whole","MD_whole",44,7
"2","52-8","-","52","8","whole","whole","whole","MD_whole",52,8
"2","75-7","-","75","7","whole","whole","whole","MD_whole",75,7
"2","86-8","-","86","8","whole","whole","whole","MD_whole",86,8
"2","82-5","-","82","5","whole","whole","whole","MD_whole",82,5
"2","83-7","-","83","7","whole","whole","whole","MD_whole",83,7
"2","72-7","-","72","7","whole","whole","whole","MD_whole",72,7
"2","76-9","-","76","9","whole","whole","whole","MD_whole",76,9
"2","85-8","-","85","8","whole","whole","whole","MD_whole",85,8
"2","71-6","-","71","6","whole","whole","whole","MD_whole",71,6
"2","36-7","-","36","7","whole","whole","whole","MD_whole",36,7
"2","35-8","-","35","8","whole","whole","whole","MD_whole",35,8
"2","37-9","-","37","9","whole","whole","whole","MD_whole",37,9
"2","41-6","-","41","6","whole","whole","whole","MD_whole",41,6
"2","44-5","-","44","5","whole","whole","whole","MD_whole",44,5
"2","33-7","-","33","7","whole","whole","whole","MD_whole",33,7
"2","32-4","-","32","4","whole","whole","whole","MD_whole",32,4
"2","31-6","-","31","6","whole","whole","whole","MD_whole",31,6
"2","58-9","-","58","9","whole","whole","whole","MD_whole",58,9
"2","14-6","-","14","6","whole","whole","whole","MD_whole",14,6
"2","64+7","+","64","7","whole","whole","whole","MD_whole",64,7
"2","56+18","+","56","18","whole","whole","whole","MD_whole",56,18
"2","72-17","-","72","17","whole","whole","whole","MD_whole",72,17
"2","46-17","-","46","17","whole","whole","whole","MD_whole",46,17
"2","44-16","-","44","16","whole","whole","whole","MD_whole",44,16
"2","57-15","-","57","15","whole","whole","whole","MD_whole",57,15
"2","63-17","-","63","17","whole","whole","whole","MD_whole",63,17
"2","68-19","-","68","19","whole","whole","whole","MD_whole",68,19
"2","61-18","-","61","18","whole","whole","whole","MD_whole",61,18
"2","81-14","-","81","14","whole","whole","whole","MD_whole",81,14
"2","84-16","-","84","16","whole","whole","whole","MD_whole",84,16
"2","77-14","-","77","14","whole","whole","whole","MD_whole",77,14
"2","83-19","-","83","19","whole","whole","whole","MD_whole",83,19
"2","81-17","-","81","17","whole","whole","whole","MD_whole",81,17
"2","88-13","-","88","13","whole","whole","whole","MD_whole",88,13
"2","84-19","-","84","19","whole","whole","whole","MD_whole",84,19
"2","86-18","-","86","18","whole","whole","whole","MD_whole",86,18
"2","63-19","-","63","19","whole","whole","whole","MD_whole",63,19
